WT,AJY2,0.005375,0.005490,0.005506,0.005474,0.003497,0.005887,0.005851,0.004902
twf1?,AJY12,0.005480,0.006231,0.005555,0.005533,0.006205,0.006054,0.005527,0.005158
srv2?,AJY16,0.003121,0.002507,0.002347,0.002235,0.001432,0.001369,0.000402,0.000421
cap2?,AJY19,0.005147,0.005125,0.004646,0.004386,0.003494,0.003494,0.002650,0.002026
twf1?srv2?,AJY20,0.003015,0.002173,0.002146,0.001417,0.001174,0.001609,0.000056,0.000108
aip1?,AJY22,0.005220,0.005449,0.006470,0.006373,0.006421,0.006555,0.006211,0.005393
crn1?,AJY24,0.005274,0.005079,0.006303,0.006209,0.003933,0.004339,0.002662,0.002182
gmf?,AJY27,0.004598,0.004996,0.005908,0.005393,0.005876,0.006270,0.004585,0.004366
aip1?crn1?,AJY29,0.005368,0.009467,0.006410,0.006887,0.005684,0.005807,0.004736,0.004974
aip1?gmf?,AJY31,0.005709,0.005661,0.005937,0.006331,0.006131,0.005739,0.004175,0.004761
crn1?gmf?,AJY33,0.003982,0.007377,0.006038,0.006547,0.002484,0.001910,0.001482,0.002115
aip1?crn1?gmf?,AJY34,0.006203,0.007127,0.004510,0.004110,0.004763,0.004195,0.003951,0.003712
twf1?aip1?,AJY36,0.005772,0.006129,0.006499,0.006604,0.006533,0.006688,0.005036,0.005359
twf1?crn1?,AJY38,0.005015,0.004535,0.005734,0.005669,0.006104,0.006105,0.004861,0.005580
twf1?gmf?,AJY40,0.004208,0.003391,0.005238,0.005765,0.005139,0.005100,0.002714,0.003242
twf1?aip1?crn1?,AJY41,0.004125,0.003649,0.003484,0.003186,0.003228,0.003364,0.001755,0.001786
twf1?aip1?gmf?,AJY42,0.004668,0.004520,0.003703,0.003964,0.002425,0.002425,0.001706,0.001844
twf1?crn1?gmf?,AJY44,0.004678,0.004090,0.005775,0.005805,0.005657,0.004292,0.004509,0.005303
twf1?aip1?crn1?gmf?,AJY47,0.005068,0.004002,0.001565,0.001474,0.001318,0.001087,0.000187,0.000559
twf1?cap2?,AJY69,0.004683,0.004615,0.002223,0.001991,0.002468,0.003011,0.002302,0.002275
twf1?aip1?cap2?,AJY73,0.006011,0.004326,0.001524,0.001391,0.002439,0.002341,0.000007,0.000163
aip1?cap2?,AJY76,0.003629,0.003751,0.001588,0.001200,0.001038,0.000993,0.000016,0.000045
srv2?crn1?,AJY78,0.002986,0.003053,0.002285,0.002303,0.000511,0.001204,0.000041,0.000047
srv2?gmf?,AJY80,0.002959,0.003230,0.002602,0.002794,0.001624,0.000936,0.000215,0.000208
srv2?crn1?gmf?,AJY82,0.002641,0.002307,0.001861,0.001807,0.001369,0.001318,0.000221,0.000863
twf1?srv2?gmf?,AJY83,0.003842,0.004051,0.002299,0.001965,0.001032,0.000893,0.000026,0.000168
crn1?cap2?,AJY84,0.003967,0.004347,0.004190,0.003890,0.003217,0.003191,0.002279,0.001922
cap2?gmf?,AJY86,0.005502,0.004694,0.004669,0.004577,0.003812,0.004532,0.002736,0.002932
twf1?cap2?crn1?,AJY87,0.005130,0.004743,0.003098,0.003471,0.002911,0.003737,0.003085,0.003371
twf1?cap2?gmf?,AJY88,0.004724,0.004662,0.003758,0.003562,0.004719,0.004503,0.002298,0.002697
cap2?crn1?gmf?,AJY89,0.004020,0.003958,0.002784,0.002784,0.002340,0.003059,0.001067,0.001299
twf1?cap2?crn1?gmf?,AJY91,0.004076,0.004090,0.002319,0.002056,0.002809,0.003141,0.002503,0.002721
