	B2
1736.783333	1.2273
1742.45	1.2256
1748.1	1.226
1753.766667	1.2263
1759.416667	1.2276
1765.083333	1.2274
1770.733333	1.2275
1776.383333	1.2264
1782.05	1.2287
1787.7	1.2268
1793.366667	1.2272
1799.016667	1.2264
1804.683333	1.2257
1810.333333	1.2276
1816	1.2285
1821.65	1.228
1827.3	1.2252
1832.966667	1.2287
1838.616667	1.2273
1844.283333	1.2266
1849.933333	1.2284
1855.6	1.2284
1861.25	1.2273
1866.9	1.2302
1872.566667	1.229
1878.216667	1.2295
1883.883333	1.2305
1889.533333	1.2306
1895.2	1.2295
1900.85	1.2308
1906.5	1.23
1912.166667	1.2289
1917.816667	1.2319
1923.483333	1.2319
1929.133333	1.2319
1934.8	1.2343
1940.45	1.2322
1946.116667	1.2318
1951.766667	1.2336
1957.416667	1.2334
1963.083333	1.2339
1968.733333	1.2329
1974.4	1.2337
1980.05	1.2363
1985.716667	1.2365
1991.366667	1.2377
1997.016667	1.2318
2002.683333	1.2372
2008.333333	1.2371
2014	1.2358
2019.65	1.2371
2025.316667	1.2359
2030.983333	1.2351
2036.633333	1.2372
2042.3	1.2384
2047.95	1.2376
2053.616667	1.2377
2059.266667	1.2377
2064.916667	1.2382
2070.583333	1.2382
2076.233333	1.2368
2081.9	1.2375
2087.55	1.2393
2093.216667	1.2376
2098.866667	1.2389
2104.516667	1.2395
2110.183333	1.2392
2115.833333	1.2401
2121.5	1.2403
2127.15	1.2393
2132.816667	1.2397
2138.466667	1.2411
2144.116667	1.2418
2149.783333	1.2398
2155.433333	1.2417
2161.1	1.2451
2166.75	1.2414
2172.416667	1.2436
2178.066667	1.2434
2183.733333	1.2442
2189.383333	1.2419
2195.033333	1.2439
2200.7	1.244
2206.35	1.2456
2212.016667	1.2436
2217.666667	1.2455
2223.333333	1.2452
2228.983333	1.2453
2234.633333	1.2453
2240.3	1.2449
2245.95	1.2469
2251.616667	1.2459
2257.266667	1.2471
2262.933333	1.2492
2268.583333	1.2473
2274.233333	1.2483
2279.9	1.2501
2285.55	1.2503
2291.216667	1.2491
2296.866667	1.2509
2302.533333	1.2498
2308.183333	1.2513
2313.833333	1.2515
2319.5	1.2494
2325.15	1.2492
2330.816667	1.2505
2336.466667	1.2509
2342.133333	1.2518
2347.783333	1.2533
2353.433333	1.2531
2359.1	1.2523
2364.75	1.2524
2370.416667	1.2538
2376.066667	1.2545
2381.733333	1.2526
2387.383333	1.2527
2393.05	1.2554
2398.7	1.254
2404.35	1.2554
2410.016667	1.2551
2415.666667	1.2542
2421.333333	1.255
2426.983333	1.2559
2432.65	1.2556
2438.3	1.2557
2443.95	1.2541
2449.616667	1.2556
2455.266667	1.2571
2460.933333	1.2579
2466.583333	1.2554
2472.25	1.2554
2477.9	1.2581
2483.55	1.256
2489.216667	1.255
2494.866667	1.2556
2500.533333	1.2572
2506.183333	1.2584
2511.85	1.2583
2517.5	1.2566
2523.15	1.2591
2528.816667	1.259
2534.466667	1.2597
2540.133333	1.2597
2545.783333	1.2588
2551.45	1.2596
2557.1	1.2599
2562.766667	1.2612
2568.416667	1.2611
2574.066667	1.2605
2579.733333	1.2629
2585.383333	1.2616
2591.05	1.2614
2596.7	1.262
2602.366667	1.2627
2608.016667	1.2633
2613.666667	1.2627
2619.333333	1.2637
2624.983333	1.2629
2630.65	1.2638
2636.3	1.2651
2641.966667	1.2635
2647.616667	1.2637
2653.266667	1.2648
2658.933333	1.265
2664.583333	1.265
2670.25	1.2656
2675.9	1.2661
2681.566667	1.2658
2687.216667	1.2648
2692.883333	1.2658
2698.533333	1.267
2704.183333	1.2663
2709.866667	1.2654
2715.516667	1.2674
2721.166667	1.2656
2726.833333	1.2681
2732.483333	1.2675
2738.15	1.2685
2743.8	1.2677
2749.466667	1.2698
2755.116667	1.2702
2760.766667	1.2699
2766.433333	1.2688
2772.083333	1.2694
2777.75	1.2689
2783.4	1.2715
2789.066667	1.2711
2794.716667	1.2704
2800.366667	1.2713
2806.033333	1.2727
2811.683333	1.2725
2817.35	1.2691
2823	1.2722
2828.666667	1.2706
2834.316667	1.2715
2839.966667	1.2724
2845.633333	1.2711
2851.283333	1.2731
2856.95	1.2708
2862.6	1.2725
2868.266667	1.2719
2873.916667	1.2737
2879.583333	1.2741
2885.233333	1.2739
2890.883333	1.2725
2896.55	1.275
2902.2	1.2709
2907.866667	1.2742
2913.516667	1.2748
2919.183333	1.2749
2924.833333	1.274
2930.483333	1.2752
2936.15	1.2722
2941.8	1.2762
2947.466667	1.2754
2953.116667	1.2745
2958.783333	1.2762
2964.433333	1.2773
2970.083333	1.276
2975.75	1.2763
2981.4	1.277
2987.066667	1.2779
2992.716667	1.278
2998.383333	1.2771
3004.033333	1.2786
3009.683333	1.2784
3015.35	1.2772
3021	1.2795
3026.666667	1.2807
3032.316667	1.2805
3037.983333	1.2798
3043.633333	1.2776
3049.3	1.2814
3054.95	1.2812
3060.6	1.2791
3066.266667	1.2802
3071.916667	1.2795
3077.583333	1.2809
3083.233333	1.2823
3088.9	1.2826
3094.55	1.2838
3100.2	1.2814
3105.866667	1.2823
3111.516667	1.2824
3117.183333	1.2826
3122.833333	1.2845
3128.5	1.2819
3134.15	1.2832
3139.8	1.2823
3145.466667	1.2829
3151.116667	1.2846
3156.783333	1.2824
3162.433333	1.2849
3168.1	1.2847
3173.75	1.2831
3179.4	1.2857
3185.066667	1.2862
3190.716667	1.2847
3196.383333	1.2847
3202.033333	1.2851
3207.7	1.2839
3213.35	1.2833
3219.016667	1.286
3224.666667	1.2848
3230.316667	1.284
3235.983333	1.2866
3241.633333	1.2851
3247.3	1.2871
3252.95	1.2872
3258.616667	1.2867
3264.266667	1.2851
3269.916667	1.2873
3275.583333	1.2887
3281.233333	1.2874
3286.9	1.2881
3292.55	1.2883
3298.216667	1.2861
3303.866667	1.2862
3309.516667	1.2878
3315.183333	1.289
3320.833333	1.2889
3326.5	1.2884
3332.15	1.29
3337.816667	1.2892
3343.466667	1.2896
3349.116667	1.2881
3354.783333	1.2883
3360.433333	1.2878
3366.1	1.2872
3371.75	1.2889
3377.416667	1.2891
3383.066667	1.2899
3388.733333	1.289
3394.4	1.2917
3400.05	1.2877
3405.7	1.2921
3411.366667	1.2923
3417.016667	1.2917
3422.683333	1.2903
3428.333333	1.2925
3434	1.2942
3439.65	1.2933
3445.316667	1.2933
3450.966667	1.2915
3456.616667	1.2916
3462.283333	1.2923
3467.933333	1.2921
3473.6	1.2928
3479.25	1.2938
3484.916667	1.2965
3490.566667	1.2949
3496.216667	1.2958
3501.883333	1.2933
3507.533333	1.2925
3513.2	1.2969
3518.85	1.2954
3524.516667	1.2953
3530.166667	1.2953
3535.816667	1.2928
3541.483333	1.2938
3547.133333	1.2952
3552.8	1.2977
3558.45	1.2955
3564.116667	1.2968
3569.766667	1.2948
3575.433333	1.2972
3581.083333	1.2947
3586.733333	1.2945
3592.4	1.2955
3598.05	1.2989
3603.716667	1.2985
3609.366667	1.2981
3615.033333	1.2961
3620.683333	1.2954
3626.333333	1.2971
3632	1.2982
3637.65	1.2982
3643.316667	1.2984
3648.966667	1.2964
3654.633333	1.2992
3660.283333	1.2994
3665.933333	1.2964
3671.6	1.2997
3677.25	1.2988
3682.916667	1.2996
3688.566667	1.2982
3694.233333	1.2981
3699.883333	1.2996
3705.55	1.3013
3711.2	1.2998
3716.85	1.3018
3722.516667	1.2999
3728.166667	1.2991
3733.833333	1.3019
3739.483333	1.3006
3745.15	1.3022
3750.8	1.3002
3756.45	1.3015
3762.116667	1.3001
3767.766667	1.2997
3773.433333	1.3013
3779.083333	1.3027
3784.75	1.3026
3790.4	1.3018
3796.05	1.3023
3801.716667	1.3025
3807.366667	1.3036
3813.033333	1.3027
3818.683333	1.3032
3824.35	1.3037
3830	1.3012
3835.666667	1.3035
3841.316667	1.3036
3846.966667	1.3053
3852.633333	1.3051
3858.283333	1.3041
3863.95	1.3032
3869.6	1.3031
3875.266667	1.3067
3880.916667	1.304
3886.566667	1.3059
3892.233333	1.307
3897.883333	1.3029
3903.55	1.3053
3909.2	1.3046
3914.866667	1.3043
3920.516667	1.3035
3926.166667	1.3073
3931.833333	1.3045
3937.483333	1.3071
3943.15	1.3057
3948.8	1.3065
3954.466667	1.3063
3960.116667	1.3055
3965.766667	1.307
3971.433333	1.307
3977.083333	1.3091
3982.75	1.3114
3988.4	1.3082
3994.066667	1.3079
3999.716667	1.3055
4005.366667	1.3073
4011.033333	1.307
4016.683333	1.3069
4022.35	1.3073
4028	1.3064
4033.666667	1.3076
4039.316667	1.3045
4044.983333	1.3087
4050.633333	1.3076
4056.283333	1.3089
4061.95	1.3063
4067.616667	1.3076
4073.266667	1.3076
4078.933333	1.3073
4084.583333	1.3079
4090.25	1.3064
4095.9	1.3095
4101.566667	1.3087
4107.216667	1.3082
4112.866667	1.309
4118.533333	1.306
4124.183333	1.3079
4129.85	1.3071
4135.5	1.3103
4141.166667	1.3075
4146.816667	1.3117
4152.466667	1.3075
4158.133333	1.3093
4163.783333	1.308
4169.45	1.3107
4175.1	1.3096
4180.766667	1.3108
4186.416667	1.311
4192.083333	1.311
4197.733333	1.3096
4203.383333	1.3125
4209.05	1.312
4214.7	1.3132
4220.366667	1.3102
4226.016667	1.312
4231.683333	1.313
4237.333333	1.3095
4242.983333	1.3132
4248.65	1.312
4254.3	1.3107
4259.966667	1.3107
4265.616667	1.3138
4271.283333	1.3146
4276.933333	1.3137
4282.583333	1.3132
4288.25	1.3123
4293.9	1.3147
4299.566667	1.3127
4305.216667	1.3137
4310.883333	1.3109
4316.533333	1.3151
4322.183333	1.3122
4327.85	1.3136
